t,u1,u3,tau,theta,theta_dot,theta_ddot,x_g,z_g
0.0,6.454945282598505,0.05271014846312014,-0.1456507663879135,1.0806329744393126e-05,0.005111553231489474,1.3224060990068909,-1.9060307379214179,1.9657979856674093
0.0043804755944931,6.454823014564284,0.14940740080348336,-0.14565176797617224,4.897692348101549e-05,0.012316185659761534,1.9670611251977042,-1.9060307374956473,1.9657979855281635
0.0087609511889862,6.454599806133319,0.23198631795892927,-0.14565359090717944,0.0001187095195380634,0.02234529996484129,2.517599392440725,-1.9060307311330462,1.9657979834457249
0.0131414267834793,6.454196857284241,0.2504788378044229,-0.1456568649142183,0.00024474846310335155,0.034373557431617276,2.6409046847909416,-1.9060307036762627,1.9657979744516727
0.0175219023779724,6.4536379433515485,0.23154808872355465,-0.14566137671179208,0.0004198618750371467,0.0454825560217964,2.5147297695689783,-1.9060306300711953,1.9657979503196858
0.0219023779724655,6.452926348100036,0.22521765726757212,-0.14566708356875377,0.0006432283824916421,0.056405462561226326,2.4725649389088393,-1.9060304755439434,1.9657978996119618
0.0262828535669586,6.45206537118204,0.21897855383113982,-0.14567394433880157,0.0009140388854862635,0.06714502797300863,2.431016654466276,-1.9060301957764052,1.9657978077254636
0.0306633291614518,6.451058325791342,0.21282741758097792,-0.14568191941594813,0.0012314961153460369,0.0777039036519311,2.3900622466461736,-1.9060297370805286,1.9657976569379862
0.0350438047559449,6.449908536352552,0.206760935329545,-0.14569097068799788,0.0015948142042520792,0.08808464190223622,2.349679373450286,-1.906029036571223,1.9657974264540468
0.039424280350438,6.448619336300422,0.2007759176950999,-0.14570106148553846,0.0020032182475093756,0.09828969836980102,2.3098465278709224,-1.9060280223379422,1.9657970924506092
0.0438047559449311,6.447194065918648,0.19486927182621924,-0.1457121565329154,0.0024559438944122026,0.10832143692586661,2.270542855727564,-1.9060266136149515,1.965796628122632
0.0481852315394242,6.445636070267402,0.18903794880005176,-0.14572422189890166,0.0029522369532949243,0.11818213050153523,2.2317478046596895,-1.906024720950286,1.9657960037284485
