ref,name,var,mae,rmse,max_abs,std,percent_within_tol,IAE,ISE,ITAE,sMAPE_percent
Thấp,Vừa,pos_mag,0.043801322790061374,0.057181360776093704,0.1322232203752113,0.03675802146534329,60.075093867334175,0.1533046297652148,0.011443978070720255,0.36057808290015264,
Thấp,Vừa,beta_summary,0.020653740378173635,0.025915125819785688,0.05927348136901861,0.02478093290837135,97.49687108886108,0.07228809132360772,0.0023505781118936296,0.11638474237070938,
Thấp,Vừa,x,0.04059954765060443,0.05570611702282361,0.1321337223052974,0.049494950289091406,62.828535669586984,0.14209841677711552,0.010861100158161814,0.3398680563809619,6.838978009442309
Thấp,Vừa,z,0.008448667609796057,0.012904903968851111,0.03794550895690918,0.011770611271322218,100.0,0.0295703366342862,0.000582877912558442,0.06469004266320515,0.5528656681996214
Thấp,Vừa,theta,0.060003270311066906,0.07875901267283934,0.1765835657715797,0.07694393033871316,54.56821026282853,0.21001144608873415,0.021710437270201638,0.49603037989978865,63.777274358054356
Thấp,Vừa,beta,0.020653740378173635,0.025915125819785688,0.05927348136901861,0.02478093290837135,97.49687108886108,0.07228809132360772,0.0023505781118936296,0.11638474237070938,8.71231767154627
Thấp,Cao,pos_mag,0.033083394099317036,0.04080063658839141,0.08213026765613678,0.023878462699413017,70.33792240300374,0.11579187934760962,0.005826421811062944,0.2606540278863045,
Thấp,Cao,beta_summary,0.030642284036092975,0.03638007848093657,0.0915700942277908,0.03192265623152339,84.73091364205257,0.1072479941263254,0.004632285385976865,0.19558995908625898,
Thấp,Cao,x,0.0273477714287306,0.03607896548660117,0.07932281494140625,0.03597137442406493,78.3479349186483,0.0957172000005571,0.004555921127041753,0.21761581857851353,4.078016892096166
Thấp,Cao,z,0.014976549208238805,0.019052564012085774,0.04342389106750488,0.017896423965810117,100.0,0.05241792222883582,0.001270500684021191,0.11659237017450044,1.014734595150536
Thấp,Cao,theta,0.08127917137002594,0.11243658361608098,0.3076167162507771,0.11125847194477734,48.56070087609512,0.2844770997950908,0.044246948673395896,0.6835768105614054,83.06296795693557
Thấp,Cao,beta,0.030642284036092975,0.03638007848093657,0.0915700942277908,0.03192265623152339,84.73091364205257,0.1072479941263254,0.004632285385976865,0.19558995908625898,10.243389500316939
Thấp,Rất cao,pos_mag,0.058219615529179244,0.0713085078028595,0.14391569920193997,0.04117498819313764,47.68460575719649,0.20376865435212735,0.017797161497746655,0.4442727614681774,
Thấp,Rất cao,beta_summary,0.023007273977069892,0.02873224874532198,0.07556211948394753,0.028492963777812946,93.36670838548186,0.08052545891974461,0.002889397412870697,0.15668637650130918,
Thấp,Rất cao,x,0.05627985608452775,0.07000777514904022,0.14168107509613037,0.0699446738502488,48.93617021276596,0.1969794962958471,0.017153810034615007,0.42846250158700294,10.122319515985067
Thấp,Rất cao,z,0.01058237484011692,0.013557828135505315,0.036023616790771484,0.013519522316750143,100.0,0.03703831194040922,0.0006433514631316483,0.08457515827128514,0.6803859818506827
Thấp,Rất cao,theta,0.29291035036244406,0.3447677811211848,0.6421247646212577,0.3408340034983096,10.513141426783479,1.025186226268554,0.41602688014728806,2.0500111402952377,149.69491825618354
Thấp,Rất cao,beta,0.023007273977069892,0.02873224874532198,0.07556211948394753,0.028492963777812946,93.36670838548186,0.08052545891974461,0.002889397412870697,0.15668637650130918,6.725140387264873
