time,u1,u2,u3,y,z,phi,beta
0.0,10.402980000000001,15.0,8.0,0.0,0.5,0.0,0.0
0.02,10.402980000000001,15.0,1.4571969693283642,-0.010008181,0.5197347,0.0,0.0
0.04,10.402980000000001,4.69652734329744,-6.154228517492254,-0.018418467,0.5486363,0.0,0.0
0.06,10.402980000000001,-15.0,-7.970017996760277,-0.016106514,0.5703757,0.0,0.0
0.08,10.402980000000001,-15.0,-4.504483667543688,-0.011555481,0.5782512,0.0,0.0
0.1,10.402980000000001,-15.0,1.3749215541810342,-0.007263035,0.5802445,0.0,0.0
0.12,10.402980000000001,-15.0,4.62292339085111,0.0006632437,0.58936954,0.0,0.0
0.14,10.402980000000001,12.334004367872204,2.954856186380956,0.010574212,0.6131808,0.0,0.0
0.16,10.402980000000001,15.0,-1.63801401957572,0.021737972,0.6478342,0.0,0.0
0.18,10.402980000000001,15.0,-5.06042090583584,0.03670296,0.68302155,0.0,0.0
0.2,10.402980000000001,2.3704412273904936,-4.718174777170295,0.053109042,0.7107693,0.0,0.0
0.22,10.402980000000001,-15.0,-1.3714710317842267,0.068007894,0.7324042,0.0,0.0
0.24,10.402980000000001,-15.0,1.9126640947859093,0.08431405,0.7550633,0.0,0.0
0.26,10.402980000000001,-15.0,2.4912381454853385,0.10488632,0.78577185,0.0,0.0
0.28,10.402980000000001,-2.1198007646058055,0.234071482979662,0.12927395,0.8259743,0.0,0.0
0.3,10.402980000000001,15.0,-2.669309814586582,0.15705436,0.87048745,0.0,0.0
0.32,10.402980000000001,15.0,-3.790238793676087,0.1867563,0.9128167,0.0,0.0
0.34,10.402980000000001,9.697332603037886,-2.453648061214139,0.21583933,0.951028,0.0,0.0
0.36,10.402980000000001,-15.0,-0.036649081024808516,0.24489428,0.98817056,0.0,0.0
0.38,10.402980000000001,-15.0,1.3859843562293948,0.2769389,1.0289916,0.0,0.0
0.4,10.402980000000001,-15.0,0.7840764118216684,0.31351435,1.0764452,0.0,0.0
0.42,10.402980000000001,0.5203043303294734,-1.1102509439814605,0.35417143,1.1292272,0.0,0.0
0.44,10.402980000000001,15.0,-2.6032686707873127,0.3976177,1.1831797,0.0,0.0
0.46,10.402980000000001,15.0,-2.5385899161293617,0.44185707,1.2354107,0.0,0.0
0.48,10.402980000000001,-2.081410429735605,-1.1568664022576398,0.48613876,1.2864058,0.0,0.0
0.5,10.402980000000001,-15.0,0.27719801119205517,0.53213876,1.3388373,0.0,0.0
0.52,10.402980000000001,-15.0,0.6034958183382197,0.581936,1.3953842,0.0,0.0
0.54,10.402980000000001,-12.153137942722005,-0.31327466039840945,0.63603646,1.4566845,0.0,0.0
0.56,10.402980000000001,15.0,-1.583945465721565,0.6935493,1.5208404,0.0,0.0
0.58,10.402980000000001,15.0,-2.137629510142576,0.75287896,1.5853659,0.0,0.0
0.6,10.402980000000001,15.0,-1.609618522556938,0.81268877,1.6494501,0.0,0.0
0.62,10.402980000000001,-15.0,-0.5417677047273801,0.87339085,1.7141912,0.0,0.0
0.64,10.402980000000001,-15.0,0.1492568526849803,0.93663037,1.7814851,0.0,0.0
0.66,10.402980000000001,-15.0,-0.05265990320449088,1.003716,1.8525252,0.0,0.0
0.68,10.402980000000001,4.688075079753126,-0.889495987199216,1.0745351,1.9268904,0.0,0.0
0.7000000000000001,10.402980000000001,15.0,-1.611647150224233,1.1480098,2.0029752,0.0,0.0
0.72,10.402980000000001,15.0,-1.646571425534649,1.2228173,2.0795593,0.0,0.0
0.74,10.402980000000001,-7.641767576474685,-1.0366804319747,1.298557,2.156713,0.0,0.0
0.76,10.402980000000001,-15.0,-0.3386613162859718,1.3761477,2.2355056,0.0,0.0
0.78,10.402980000000001,-15.0,-0.12572253572106856,1.4569488,2.3170688,0.0,0.0
0.8,10.402980000000001,-2.058207112502295,-0.5235184964258393,1.5414537,2.401737,0.0,0.0
0.8200000000000001,10.402980000000001,15.0,-1.1438913490525675,1.629096,2.488791,0.0,0.0
0.84,9.438614917797446,15.0,-1.4572942117850474,1.7187413,2.5771887,0.0,0.0
0.86,8.47899166559562,4.773743893551419,-1.236450661072503,1.8092597,2.6658077,0.0,0.0
0.88,7.77437923533976,-15.0,-0.6420111462209864,1.9006028,2.754382,0.0,0.0
0.9,7.129649374206959,-15.0,-0.1301655542423495,1.9936599,2.843361,0.0,0.0
0.92,6.376408502777516,-15.0,-0.06517814906537395,2.08922,2.9331038,0.0,0.0
0.9400000000000001,5.532673887198269,15.0,-0.41173944821815806,2.1871333,3.0232093,0.0,0.0
0.96,4.776708620709776,15.0,-0.7905450646053371,2.2864976,3.112515,0.0,0.0
0.98,4.293026225825249,15.0,-0.8310435631222779,2.3862994,3.1998854,0.0,0.0
1.0,4.08436950642377,-15.0,-0.48358271360830063,2.4862504,3.284929,0.0,0.0
1.02,3.9825669753266864,-15.0,-0.04213963927098491,2.5868695,3.3680744,0.0,0.0
1.04,3.7954399053244283,-15.0,0.1353819966249042,2.688929,3.4499736,0.0,0.0
1.06,3.4663656167885653,8.244431879742898,-0.0625544382308118,2.7926388,3.53082,0.0,0.0
1.08,3.099477609853669,15.0,-0.42017624887838795,2.8975477,3.6100554,0.0,0.0
1.1,2.8722270164298256,-15.0,-0.6063924318390943,3.0029252,3.6868072,0.0,0.0
1.12,2.864148022639974,-15.0,-0.46445216165585107,3.1083736,3.7605941,0.0,0.0
1.1400000000000001,2.9887701117298,-15.0,-0.1331152788051564,3.2141075,3.8316596,0.0,0.0
1.16,3.07747401361674,-15.0,0.09508802847073772,3.320582,3.9007022,0.0,0.0
1.18,3.019849639249443,-15.0,0.04017829254472377,3.42799,3.9682438,0.0,0.0
1.2,2.8526075382637224,3.58220832110279,-0.22132691545144528,3.5360153,4.034175,0.0,0.0
1.22,2.7219842259319864,15.0,-0.44091866176051003,3.6439993,4.097868,0.0,0.0
1.24,2.7522912099151307,15.0,-0.42108254289302827,3.7512922,4.1587315,0.0,0.0
1.26,2.9399654508395496,15.0,-0.17615219019717365,3.8575883,4.216678,0.0,0.0
1.28,3.1696238603195552,15.0,0.09374010621005752,3.9629304,4.2721205,0.0,0.0
1.3,3.322971056562327,15.0,0.1835574151668638,4.067428,4.3255644,0.0,0.0
1.32,3.3745278538190204,15.0,0.05257029763298526,4.1710253,4.3771877,0.0,0.0
1.34,3.398480191260055,0.08817541013601016,-0.16159521255840714,4.2735014,4.4267488,0.0,0.0
1.36,3.4934141596541184,-15.0,-0.276388836165922,4.3746285,4.4738894,0.0,0.0
1.3800000000000001,3.689001392649897,-15.0,-0.2191620820188629,4.4743605,4.51855,0.0,0.0
1.4000000000000001,3.9170169209581243,-10.72406828430352,-0.07558146187191972,4.5728517,4.5610604,0.0,0.0
1.42,4.085177133960128,15.0,0.0055276356382394365,4.670279,4.601877,0.0,0.0
1.44,4.160811754732803,15.0,-0.049057875197674794,4.766658,4.641238,0.0,0.0
1.46,4.192366275004056,15.0,-0.18251954887736843,4.8617907,4.6790023,0.0,0.0
