t,x_q,z_q,beta,xd_q,zd_q,betad
0.0,-2.0,2.0,0.34906585039912086,0.0,0.0,1.6908814000701144e-12
0.004380475594493116,-1.9999999996035955,1.999999999780072,0.3490658495405166,3.6167396162604523e-07,-2.006202499326175e-07,-7.827940440317626e-07
0.008760951188986232,-1.9999999936785229,1.9999999964955337,0.34906583674803854,2.881419100665188e-06,-1.5967603136779982e-06,-6.212948863440168e-06
0.013141426783479349,-1.9999999681035499,1.9999999823312495,0.3490657817275772,9.684495448475172e-06,-5.361478705619486e-06,-2.080272754671023e-05
0.017521902377972465,-1.9999998995257835,1.99999994438686,0.3490656347390689,2.2860597933870417e-05,-1.2643518890243411e-05,-4.8918626580038364e-05
0.02190237797246558,-1.9999997555159104,1.9999998647828416,0.3490653272311705,4.4464107485494416e-05,-2.4567515650102557e-05,-9.478313489083777e-05
0.026282853566958697,-1.99999949472234,1.9999997207656655,0.34906477246823975,7.651434141145982e-05,-4.223420075691869e-05,-0.00016247648657861173
0.030663329161451813,-1.9999990670242545,1.9999994848120515,0.34906386614965434,0.00012099580305625634,-6.672060794582408e-05,-0.00025593840564231367
0.03504380475594493,-1.999998413683563,1.9999991247323314,0.3490624870215063,0.00017985843073492643,-9.908027719274221e-05,-0.0003789698427041933
0.039424280350438046,-1.9999974674957703,1.9999986037729167,0.34906049748070633,0.00025501784594450863,-0.00014034345829490725,-0.0005352347037301297
0.04380475594493116,-1.9999961529397583,1.9999978807178742,0.3490577441715326,0.000348355600852749,-0.00019151731375452295,-0.0007282615707464511
0.04818523153942428,-1.9999943863264844,1.9999969099896182,0.34905405857465993,0.00046171942506407983,-0.0002535861209655602,-0.0009614454145532403
0.052565707133917394,-1.999992075946603,1.9999956417487157,0.34904925758870387,0.0005969234716628661,-0.0003275114737036939,-0.0012380492994341276
0.05694618272841051,-1.9999891222170063,1.9999940219928118,0.34904314410431503,0.0007557485625339209,-0.0004142324829193788,-0.0015612060798625704
0.06132665832290363,-1.9999854178262968,1.9999919926546756,0.3490355075708581,0.0009399424329602866,-0.0005146659768340645,-0.0019339200892046176
0.06570713391739674,-1.999980847879189,1.9999894916993741,0.3490261245557115,0.0011512199754982852,-0.0006297067003395489,-0.0023590688204181633
0.07008760951188986,-1.9999752900398395,1.9999864532205698,0.3490147592962222,0.0013912634831298371,-0.0007602275137004714,-0.0028394045987486837
0.07446808510638298,-1.9999686146741218,1.9999828075359545,0.3490011642443508,0.0016617228916920449,-0.0009070795905599457,-0.0033775562464214656
0.07884856070087609,-1.999960684990833,1.9999784812818118,0.34898508060404193,0.001964216021584048,-0.001071092615248329,-0.003976030739330313
0.08322903629536921,-1.9999513571818481,1.999973397506722,0.3489662388613555,0.002300328818751144,-0.0012530749793951343,-0.004637214855722752
0.08760951188986232,-1.9999404805612195,1.9999674757644041,0.3489443593073929,0.002671615594946175,-0.0014538139778440774,-0.0053633768168817085
0.09198998748435544,-1.9999278977032229,1.9999606322057015,0.34891915255405376,0.0030795992672681886,-0.001674076003871267,-0.006156667919803686
0.09637046307884856,-1.9999134445793587,1.999952779669714,0.34889032004265946,0.0035257715969783574,-0.0019146067437065303,-0.007019124161873419
0.10075093867334167,-1.9998969506943078,1.9999438277740818,0.3488575545454755,0.004011593427593175,-0.002176131370357881,-0.007952667857535026
0.10513141426783479,-1.9998782392208458,1.9999336830044179,0.348820540660171,0.004538494922254912,-0.0024593547367391224,-0.008959109246959621
0.1095118898623279,-1.999857127133718,1.999922248802899,0.34877895529724867,0.005107875800379353,-0.0027649615681005937,-0.010040148096709455
0.11389236545682102,-1.9998334253424823,1.999909425656014,0.34873246816048,0.005721105573580775,-0.0030936166537630532,-0.01119737529239851
0.11827284105131414,-1.999806938823316,1.9998951111814738,0.34868074222038264,0.006379523780874227,-0.0034459650381546973,-0.012432274423349578
0.12265331664580725,-1.9997774667497985,1.9998792002142867,0.3486234341807726,0.007084440223155055,-0.0038226322111513298,-0.013746223359247856
0.12703379224030037,-1.9997448026226645,1.999861584892,0.3485601949384278,0.0078371351969557,-0.004224224297719654,-0.01514049581879101
0.13141426783479349,-1.9997087343985376,1.9998421547391148,0.34849067003589806,0.008638859727479757,-0.004651328246863713,-0.0166162629303357
0.1357947434292866,-1.9996690446176422,1.999820796750673,0.34841450010749586,0.009490835800913335,-0.005104512019874479,-0.01817459478454065
0.14017521902377972,-1.9996255105305027,1.9997973954750197,0.34833132131850375,0.010394256596013621,-0.005584324777882557,-0.019816461979006158
0.14455569461827283,-1.9995779042236264,1.99977183309575,0.34824076579763197,0.011350286714974787,-0.00609129706871405,-0.021542737154910088
0.14893617021276595,-1.9995259927441769,1.9997439895128346,0.34814246206276434,0.012360062413571099,-0.006625941013049551,-0.023354196525640403
